income,university,dropout
9101.42,pisa,0
10330.68,pisa,0
7036.65,pisa,0
19944.59,pisa,0
7436.65,pisa,0
15370.94,pisa,0
10122.16,pisa,1
14034.8,pisa,0
13978.29,pisa,0
16437.5,pisa,0
8920.22,pisa,1
3733.33,pisa,1
7708.14,pisa,0
6289.05,pisa,0
7720.33,pisa,0
5456.34,pisa,0
9663.06,pisa,0
8510.98,pisa,0
13796.3,pisa,1
8500.49,pisa,0
10854.47,pisa,1
10814.59,pisa,0
13874.52,pisa,1
322.04,pisa,0
9612.11,pisa,0
13880.67,pisa,0
11521.66,pisa,0
2826.32,pisa,0
11038.37,pisa,0
7590.16,pisa,0
9118.75,pisa,0
5058.39,pisa,0
10697.56,pisa,0
10745.85,pisa,0
9318.07,pisa,0
3219.28,pisa,0
8139.22,pisa,0
10224.66,pisa,0
12352.54,pisa,0
15935.03,pisa,0
9016.26,pisa,0
7908.21,pisa,0
9339.24,pisa,0
5622.81,pisa,0
6224.55,pisa,0
3409.22,pisa,0
15904.91,pisa,1
8119.61,pisa,0
12665.61,pisa,0
947.9,pisa,0
2183.66,pisa,0
6547.19,pisa,1
5159.34,pisa,0
8758.21,pisa,0
5423.73,pisa,1
18991.7,pisa,0
9746.97,pisa,0
9339.49,pisa,0
10561.99,pisa,1
10938.35,pisa,1
12288.73,pisa,0
2260.63,pisa,0
7757.05,pisa,0
17773.89,pisa,0
322.76,pisa,0
14464.01,pisa,0
11455.89,pisa,1
13895.07,pisa,1
14914.72,pisa,0
14120.65,pisa,0
12278.95,pisa,0
5122.29,pisa,0
1206.46,pisa,0
16323.57,pisa,0
11620.73,pisa,0
18636,pisa,1
15967.41,pisa,0
13703.17,pisa,0
4221.99,pisa,0
11007.72,pisa,0
12680.14,pisa,0
10296.08,pisa,0
10695.59,pisa,0
10392.39,pisa,0
16270.12,pisa,0
1555.13,pisa,0
5532.71,pisa,0
16048.65,pisa,0
11751.33,pisa,1
17589.17,pisa,0
6212.25,pisa,0
12006.57,pisa,0
13475.16,pisa,0
2490.57,pisa,0
9530.28,pisa,0
7495.28,pisa,0
9104.04,pisa,0
6132.84,pisa,0
6189.02,pisa,0
17227.87,pisa,0
11216.29,pisa,0
11503.64,pisa,0
9121.63,pisa,0
10472.98,pisa,1
18416.27,pisa,0
12625.79,pisa,0
4764.07,pisa,0
13105.39,pisa,1
13134.39,pisa,0
10414.92,pisa,0
8945.1,pisa,1
18293.9,pisa,0
17953.83,pisa,1
5421.4,pisa,1
1609.43,pisa,0
11911.04,pisa,1
9584.01,pisa,0
4909.82,pisa,0
6601.27,pisa,0
9702.08,pisa,1
13371.79,pisa,1
2075.7,pisa,0
3607.72,pisa,1
12498.48,pisa,0
9279.02,pisa,0
13288.7,pisa,1
15164.21,pisa,0
9378.73,pisa,0
5167.48,pisa,0
17968.79,pisa,1
11675.2,pisa,0
5027.72,pisa,1
7086.18,pisa,0
7406.56,pisa,0
10338.13,pisa,0
13757.32,pisa,0
14501.79,pisa,1
15122.3,pisa,0
3280.39,pisa,0
7468.35,pisa,0
12529.67,pisa,0
6637.4,pisa,0
8270.94,pisa,0
12296.24,pisa,0
18656.37,pisa,1
8634.39,pisa,0
5411.79,pisa,0
10683.82,pisa,0
3526.42,pisa,0
15640.98,pisa,0
15942.63,pisa,0
4513.94,pisa,0
11273.25,pisa,0
9891.76,pisa,0
2613.24,pisa,0
16865.59,pisa,0
14514.3,pisa,0
7981.64,pisa,0
10060.57,pisa,1
18047.64,pisa,0
3944.24,pisa,0
17927.5,pisa,0
15831.89,pisa,1
9511.4,pisa,0
1780.59,pisa,1
8626.12,pisa,1
10598.28,pisa,0
10614.23,pisa,0
14599.21,pisa,0
13667.55,pisa,0
9343.09,pisa,0
15021,pisa,1
14852.46,pisa,0
7695.22,pisa,0
10602.69,pisa,1
10543.36,pisa,0
8686.47,pisa,0
6796.88,pisa,0
12653.66,pisa,0
11232.36,pisa,0
7032.03,pisa,0
9948.96,pisa,1
11915.32,pisa,0
13773.75,pisa,0
12686.45,pisa,0
19636.28,pisa,0
11106.45,pisa,0
12160.81,pisa,0
13084.02,pisa,0
14454.83,pisa,1
3680.39,pisa,0
5989.47,pisa,0
10222.65,pisa,0
18146.02,pisa,0
14661.78,pisa,1
16054.12,pisa,0
2260.35,pisa,0
12249.19,pisa,0
6921.58,pisa,0
16500.95,pisa,0
14684,pisa,1
6790.82,pisa,1
4157.84,pisa,0
14137.84,pisa,0
1473.98,pisa,0
11606.41,pisa,0
5135.76,pisa,0
5219.25,pisa,0
11207.32,pisa,1
13970.19,pisa,0
10224.87,pisa,0
9222.86,pisa,1
9122.78,pisa,0
2546.79,pisa,1
7846.3,pisa,0
9926.02,pisa,0
6158.87,pisa,0
2924.2,pisa,0
6821.99,pisa,0
7812.03,pisa,1
2027.28,pisa,1
11149.65,pisa,0
999.48,pisa,0
2048.76,pisa,0
19554.49,pisa,1
11353.11,pisa,0
12914.01,pisa,0
116.44,pisa,0
11138.63,pisa,0
8588.62,pisa,0
13021.14,pisa,0
18011.41,pisa,0
11605.59,pisa,1
14825.48,pisa,0
7326.27,pisa,1
17069.28,pisa,1
3569.33,pisa,0
15725.8,pisa,0
14724.8,pisa,0
2008.42,pisa,0
18657.26,pisa,1
14239.84,pisa,1
7773.16,pisa,1
9009.34,pisa,1
6661.76,pisa,0
12541.4,pisa,0
11267.02,pisa,0
16242.86,pisa,0
6119.12,pisa,0
11767.47,pisa,0
8646.23,pisa,0
11124,pisa,0
16543.52,pisa,0
3873.17,pisa,1
6535.86,pisa,1
1109.03,pisa,0
11218.51,pisa,1
3406.5,pisa,0
7237.25,pisa,0
7059.78,pisa,0
17667.02,pisa,0
9888.73,pisa,0
19642.09,pisa,1
13477.22,pisa,0
12671.41,pisa,0
10081.07,pisa,0
3279.32,pisa,0
13868.8,pisa,0
10470.59,pisa,0
786.9,pisa,0
2718.47,pisa,0
19167.2,pisa,0
12729.08,pisa,1
6147.13,pisa,1
13204.58,pisa,0
14591.64,pisa,0
5758.33,pisa,1
9797.64,pisa,0
12836.76,pisa,0
8659.35,pisa,0
1197.97,pisa,0
2573.89,pisa,0
7439.13,pisa,0
14124.02,pisa,1
15539.07,pisa,0
16171.63,pisa,0
6491.25,pisa,0
18940.67,pisa,0
7979.27,pisa,0
11434.38,pisa,0
12527,pisa,0
12517.48,pisa,0
15960.77,pisa,0
8797.97,pisa,0
15045.37,pisa,0
16827.87,pisa,1
14186.62,pisa,0
7318.53,pisa,1
16715.56,pisa,1
10679.62,pisa,0
